ds,real,rf_pred,xgb_pred,residuo_rf,residuo_xgb
2024-12-27,1134.5,1624.4176343832862,1451.4541,-489.9176343832862,-316.9541015625
2024-12-28,1123.0,1267.748548418887,1415.2072,-144.7485484188869,-292.2071533203125
2024-12-30,2675.0,1996.736632232213,2019.8853,678.263367767787,655.11474609375
2024-12-31,855.0,1553.326924744477,1587.2009,-698.3269247444771,-732.200927734375
2025-01-02,2154.0,1322.0095075651016,1192.8171,831.9904924348984,961.182861328125
2025-01-03,2389.0,1711.1810534631475,1566.9943,677.8189465368525,822.0057373046875
2025-01-04,1654.0,1383.8950934390623,1853.5028,270.1049065609377,-199.5028076171875
2025-01-06,2708.0,2221.192406823898,2362.3457,486.8075931761018,345.654296875
2025-01-07,1519.0,2200.217796697858,2514.7583,-681.2177966978579,-995.75830078125
2025-01-08,2011.0,2021.2931234896762,1972.236,-10.29312348967619,38.7640380859375
2025-01-09,1799.0,1903.1548118936614,1810.5486,-104.15481189366142,-11.548583984375
2025-01-10,2632.5,2011.017600641136,1856.6602,621.4823993588641,775.83984375
2025-01-11,2267.0,1514.4296048759018,1718.3385,752.5703951240982,548.6614990234375
2025-01-13,2299.0,2076.907424795094,2352.623,222.0925752049061,-53.623046875
2025-01-14,1302.0,2225.38367315619,2374.721,-923.3836731561901,-1072.720947265625
2025-01-15,2655.5,2249.0858558232353,2507.9175,406.4141441767647,147.58251953125
2025-01-16,1825.5,1855.458433020383,1778.235,-29.958433020382927,47.2650146484375
2025-01-17,3583.0,2596.5257080193687,2482.0298,986.4742919806313,1100.97021484375
2025-01-18,913.0,1557.9367041287055,1351.9042,-644.9367041287055,-438.9041748046875
2025-01-20,1905.0,2251.256623468445,2446.7527,-346.256623468445,-541.752685546875
2025-01-21,2431.0,2237.0989409776357,2373.153,193.90105902236428,57.846923828125
2025-01-23,3869.0,2787.9346977525242,3466.329,1081.0653022474758,402.6708984375
2025-01-24,1679.0,2613.6999196639463,2626.1545,-934.6999196639463,-947.154541015625
2025-01-25,355.0,1572.599536239816,1496.8833,-1217.599536239816,-1141.88330078125
2025-01-27,1454.0,2198.7173988898317,2323.668,-744.7173988898317,-869.66796875
2025-01-28,840.0,2212.1164139943385,2099.4744,-1372.1164139943385,-1259.474365234375
2025-01-29,1334.0,1800.0008427320447,1995.5397,-466.0008427320447,-661.5396728515625
2025-01-30,891.0,1569.120162718116,1453.0778,-678.120162718116,-562.0777587890625
2025-01-31,1051.5,1234.6455012392055,1458.1711,-183.1455012392055,-406.671142578125
2025-02-01,1216.5,897.2736045349657,1290.8835,319.22639546503433,-74.383544921875
2025-02-03,2583.0,2094.1118935705404,2016.1072,488.88810642945964,566.892822265625
2025-02-04,2397.0,2177.140053398822,2324.5215,219.85994660117785,72.478515625
2025-02-05,2566.5,1828.243750189423,1971.846,738.256249810577,594.654052734375
2025-02-06,1040.0,1621.9097338238994,1442.9001,-581.9097338238994,-402.900146484375
2025-02-07,1695.0,1946.7871482215573,1690.2994,-251.78714822155735,4.7005615234375
2025-02-08,3241.0,1487.3620367316025,1721.8607,1753.6379632683975,1519.1392822265625
2025-02-10,2830.5,2420.7949745167084,2551.0896,409.7050254832916,279.410400390625
2025-02-11,2372.0,2863.705282433844,2636.1504,-491.7052824338439,-264.150390625
2025-02-12,2331.5,2490.313946187448,2558.2334,-158.81394618744798,-226.7333984375
2025-02-13,3484.5,2472.3213936574357,2496.9985,1012.1786063425643,987.50146484375
2025-02-14,2691.5,2639.5133740432907,2778.5537,51.986625956709304,-87.0537109375
2025-02-15,1914.0,1903.0519999453334,2462.6416,10.948000054666636,-548.6416015625
2025-02-17,1770.0,2457.2199881685533,2990.9397,-687.2199881685533,-1220.939697265625
2025-02-18,1533.5,2512.0132754534916,3155.97,-978.5132754534916,-1622.469970703125
2025-02-19,1619.0,2168.0477285428688,2289.4155,-549.0477285428688,-670.41552734375
2025-02-20,2260.0,2280.4647506935535,2627.796,-20.46475069355347,-367.7958984375
2025-02-21,1812.5,1962.9017629755106,2075.3262,-150.40176297551056,-262.826171875
2025-02-22,1176.0,1191.8618035394047,1757.243,-15.861803539404718,-581.2430419921875
2025-02-24,1817.5,2313.4286684995554,2226.9172,-495.92866849955544,-409.417236328125
2025-02-25,1917.0,2148.282775249028,2276.509,-231.28277524902796,-359.509033203125
2025-02-26,1212.0,1761.1428308785657,1735.0476,-549.1428308785657,-523.047607421875
2025-02-27,1225.5,1587.1016776477968,1351.0457,-361.6016776477968,-125.545654296875
2025-02-28,1054.0,1548.6105754372295,1405.7075,-494.6105754372295,-351.70751953125
2025-03-01,726.5,942.2282981881177,1424.7982,-215.72829818811772,-698.2982177734375
2025-03-05,2345.5,1731.7913359330553,1732.3418,613.7086640669447,613.158203125
2025-03-06,2045.5,1662.273042017869,1532.4082,383.2269579821309,513.091796875
2025-03-07,1974.0,1605.4479597166155,1443.3752,368.5520402833845,530.624755859375
2025-03-08,1287.0,947.9331579625932,1007.21375,339.0668420374068,279.7862548828125
2025-03-10,2261.92,2185.330787924964,2123.5742,76.5892120750359,138.34578125000007
2025-03-11,1983.0,1984.474609923008,2124.863,-1.4746099230080745,-141.863037109375
2025-03-12,1747.5900000000001,1926.8220823398794,1966.0079,-179.2320823398793,-218.41793457031235
2025-03-13,1812.5,1963.002183685314,1912.9133,-150.5021836853141,-100.413330078125
2025-03-14,2936.0,1853.24500556035,1777.1624,1082.75499443965,1158.837646484375
2025-03-15,1006.0,1201.068629119825,1058.5272,-195.0686291198249,-52.5272216796875
2025-03-17,1748.0,2223.958929441282,2116.9587,-475.9589294412822,-368.958740234375
2025-03-18,1346.0,2103.1330525569992,2126.9358,-757.1330525569992,-780.935791015625
2025-03-19,1223.0,1882.3869143228987,1843.8188,-659.3869143228987,-620.81884765625
2025-03-20,1468.0,1415.5419730675435,1445.1953,52.458026932456505,22.8046875
2025-03-21,1503.5,1618.6378313908974,1652.9879,-115.13783139089742,-149.4879150390625
2025-03-22,1028.0,1005.8674742387619,1248.0372,22.13252576123807,-220.0372314453125
2025-03-24,1379.0,1990.6537196089464,2079.885,-611.6537196089464,-700.885009765625
2025-03-25,1984.25,1824.4198014586525,1834.914,159.8301985413475,149.3360595703125
2025-03-26,1311.5,1437.6503997322116,1293.5985,-126.15039973221155,17.9014892578125
2025-03-27,1650.0,1451.7082938613066,1410.7415,198.29170613869337,239.258544921875
2025-03-28,1644.0,1503.7999674108664,1489.4926,140.20003258913357,154.5074462890625
2025-03-29,687.0,954.1573656741035,648.9117,-267.1573656741035,38.08831787109375
2025-03-31,1922.5,2051.4011071974696,1890.252,-128.90110719746963,32.248046875
2025-04-01,2771.5,1829.1569959491617,1965.6726,942.3430040508383,805.827392578125
2025-04-02,1551.0,1649.1946893005336,1462.0698,-98.19468930053358,88.93017578125
2025-04-03,1021.0,1529.9833132049207,1335.2273,-508.9833132049207,-314.227294921875
2025-04-04,927.0,1475.7419786547935,1535.023,-548.7419786547935,-608.02294921875
2025-04-05,530.0,955.3209178898321,1122.6249,-425.3209178898321,-592.6248779296875
2025-04-07,2934.0,1891.2203616504046,2005.7622,1042.7796383495954,928.23779296875
2025-04-08,2881.5,1912.2239429854028,2063.1143,969.2760570145972,818.3857421875
2025-04-09,1726.5,1537.9547478959423,1548.5083,188.54525210405768,177.99169921875
2025-04-10,1642.0,1572.1010642084145,1527.4043,69.89893579158547,114.595703125
2025-04-11,2097.5,1795.1331204231374,1881.6866,302.36687957686263,215.8133544921875
2025-04-12,1265.0,1324.9195994535748,1630.6082,-59.91959945357485,-365.608154296875
2025-04-14,2545.5,2317.561587896992,2817.283,227.93841210300798,-271.782958984375
2025-04-15,1344.0,2232.026571382396,2066.124,-888.026571382396,-722.1240234375
2025-04-16,2449.0,2094.1240819710283,2112.28,354.8759180289717,336.719970703125
2025-04-17,1832.0,1719.2992224428212,1717.8333,112.70077755717875,114.166748046875
2025-04-19,1126.0,1371.104444868799,1349.7869,-245.10444486879896,-223.786865234375
2025-04-21,2268.0,2209.7192466023416,2418.7725,58.28075339765837,-150.7724609375
2025-04-22,1614.0,2067.6845422972624,1955.1066,-453.6845422972624,-341.1065673828125
2025-04-23,2704.0,2475.49140621645,2314.828,228.50859378355017,389.172119140625
2025-04-24,1493.0,1717.4590156088775,1673.4489,-224.4590156088775,-180.4488525390625
2025-04-25,1186.0,1815.5429827749026,1825.915,-629.5429827749026,-639.9150390625
2025-04-26,1425.0,1287.4698480563884,1077.009,137.5301519436116,347.990966796875
2025-04-28,2722.0,2124.608766349651,2062.4368,597.391233650349,659.563232421875
2025-04-29,3653.0,2063.989949804512,2122.9924,1589.010050195488,1530.007568359375
2025-04-30,2374.0,2173.776666265538,2042.753,200.2233337344619,331.2469482421875
2025-05-02,2921.0,2435.998464098969,2404.5242,485.0015359010308,516.475830078125
2025-05-03,1336.0,1464.9730854624809,1632.8225,-128.97308546248087,-296.822509765625
2025-05-05,2391.0,2388.019761780413,2409.7285,2.980238219587136,-18.728515625
2025-05-06,3458.5,2946.5170563197626,3198.5598,511.98294368023744,259.940185546875
2025-05-07,752.0,2711.423150911781,2674.7097,-1959.4231509117808,-1922.709716796875
2025-05-08,2731.0,3267.924309231227,3666.8628,-536.9243092312272,-935.86279296875
2025-05-09,1752.0,2165.4675069214945,2463.2192,-413.46750692149453,-711.21923828125
2025-05-10,3358.0,1481.500648519868,1536.5294,1876.499351480132,1821.4705810546875
2025-05-12,1080.0,2366.153757769477,2506.2673,-1286.1537577694771,-1426.267333984375
2025-05-13,2739.0,3270.33664587607,3093.0767,-531.3366458760702,-354.07666015625
2025-05-14,1737.5,2036.6009418517747,1972.9329,-299.1009418517747,-235.432861328125
2025-05-15,1732.0,2090.5036897244254,2436.9878,-358.5036897244254,-704.98779296875
2025-05-16,2086.0,2158.6330522327635,2069.7688,-72.63305223276348,16.231201171875
2025-05-17,1421.0,1284.1165375846942,1420.941,136.88346241530576,0.0589599609375
2025-05-19,1913.0,1985.3679999770786,1866.0026,-72.36799997707863,46.9974365234375
2025-05-20,1342.0,1991.366846792043,1994.5757,-649.3668467920429,-652.57568359375
2025-05-21,1607.0,1821.1720492648478,2029.4708,-214.17204926484783,-422.4708251953125
2025-05-22,1919.0,1787.153374332556,1986.6807,131.84662566744396,-67.6806640625
2025-05-23,2025.0,1510.8028904228547,1618.7927,514.1971095771453,406.207275390625
2025-05-24,1726.0,1238.0642053538684,1191.4309,487.9357946461316,534.569091796875
2025-05-26,1686.0,1824.3827442396512,1866.8367,-138.38274423965117,-180.836669921875
2025-05-27,635.0,1870.441156217737,1962.2438,-1235.441156217737,-1327.2437744140625
2025-05-28,1460.0,1545.591082498565,1576.0519,-85.5910824985649,-116.0518798828125
2025-05-29,1070.0,1828.1549366137065,1788.1022,-758.1549366137065,-718.1021728515625
2025-05-30,914.5,1300.154740399379,1128.5594,-385.6547403993791,-214.0594482421875
2025-05-31,771.0,879.2776625595513,946.6178,-108.27766255955135,-175.6177978515625
2025-06-02,1114.0,1697.7434265014977,1893.8562,-583.7434265014977,-779.856201171875
2025-06-03,1882.0,1627.1965514279057,1705.1814,254.80344857209434,176.818603515625
2025-06-04,1432.0,1366.9597150973464,1568.585,65.04028490265364,-136.5849609375
2025-06-05,1507.5,1212.501573145854,1214.3107,294.9984268541459,293.1893310546875
2025-06-06,2606.5,1652.0811457661218,1767.7065,954.4188542338782,838.79345703125
2025-06-09,1862.0,1756.3882584015469,1960.4075,105.61174159845314,-98.407470703125
2025-06-10,1880.0,1795.4926061896438,2021.7701,84.50739381035623,-141.7701416015625
2025-06-11,2628.0,1926.7196058573093,1867.7156,701.2803941426907,760.284423828125
2025-06-12,1819.75,1835.3250219638142,1908.5068,-15.575021963814152,-88.7568359375
2025-06-13,1954.0,2118.9786025088247,2056.703,-164.97860250882468,-102.702880859375
2025-06-14,2298.5,1559.1050703009764,1814.935,739.3949296990236,483.56494140625
2025-06-16,3430.0,2871.3937400651735,2817.5989,558.6062599348265,612.401123046875
2025-06-17,2870.0,2603.599666874792,2300.2834,266.4003331252079,569.716552734375
2025-06-18,2973.0,2844.3011660439533,2961.9932,128.69883395604666,11.0068359375
2025-06-20,2221.5,2553.6069212687016,2498.238,-332.1069212687016,-276.738037109375
2025-06-21,1076.0,1488.2675715966807,1859.5498,-412.2675715966807,-783.5498046875
2025-06-23,2951.0,3042.607094491065,3404.0598,-91.6070944910648,-453.059814453125
2025-06-24,2854.0,2621.5213529955868,2755.8708,232.47864700441323,98.129150390625
2025-06-25,1616.0,2582.6586717064306,2273.473,-966.6586717064306,-657.472900390625
2025-06-26,2331.5,2709.152895396272,2427.8596,-377.652895396272,-96.359619140625
2025-06-27,2271.0,2338.2969723487627,2354.3047,-67.29697234876267,-83.3046875
2025-06-28,2878.0,1549.973961771451,2040.831,1328.026038228549,837.1689453125
2025-06-30,2966.5,2369.0700571146326,2025.8436,597.4299428853674,940.6563720703125
2025-07-01,2381.0,2720.891397279306,2713.5571,-339.89139727930615,-332.55712890625
2025-07-02,1791.5,2765.206912219405,2631.9316,-973.7069122194048,-840.431640625
2025-07-03,1832.0,2702.9620121544012,2998.1135,-870.9620121544012,-1166.113525390625
2025-07-04,3999.5,2607.0028030691014,2747.141,1392.4971969308986,1252.35888671875
2025-07-05,1203.5,1665.6647138295598,1752.7646,-462.1647138295598,-549.2646484375
2025-07-07,2432.0,2799.1233570614104,2781.6145,-367.1233570614104,-349.614501953125
2025-07-08,2780.5,2741.9377025198187,2872.2307,38.562297480181314,-91.730712890625
2025-07-09,2076.0,2769.3625860057014,2917.4888,-693.3625860057014,-841.48876953125
2025-07-10,2583.0,2518.020578960238,2538.7786,64.9794210397622,44.221435546875
2025-07-11,1943.5,2423.242446303255,2333.0586,-479.74244630325484,-389.55859375
2025-07-12,1552.0,1212.9996174906205,1023.8785,339.0003825093795,528.1215209960938
2025-07-14,3782.0,2745.558773993177,3379.995,1036.441226006823,402.0048828125
2025-07-15,3493.5,2565.54485434704,2496.3706,927.9551456529598,997.12939453125
2025-07-16,2495.0,2624.1740094473303,2528.1018,-129.17400944733026,-33.101806640625
2025-07-17,2753.4,2826.375730814321,2918.619,-72.97573081432074,-165.2188964843749
2025-07-18,2882.0,2557.5929385836994,2351.18,324.4070614163006,530.820068359375
2025-07-19,1156.5,1390.7784156569546,1457.9093,-234.27841565695462,-301.4093017578125
2025-07-21,2019.0,2951.5230749926213,3251.8767,-932.5230749926213,-1232.876708984375
2025-07-22,2417.5,2593.1944261457934,2954.4531,-175.6944261457934,-536.953125
2025-07-23,1736.5,2305.5169682870396,2270.81,-569.0169682870396,-534.31005859375
2025-07-24,3148.6,2612.894564602064,2537.0562,535.7054353979361,611.5438476562499
2025-07-25,3757.5,2574.325188878255,2490.8704,1183.1748111217448,1266.629638671875
2025-07-26,1067.9,1619.910116571816,1635.3624,-552.0101165718158,-567.4624267578124
2025-07-28,3571.75,2782.5627477929297,2835.037,789.1872522070703,736.712890625
2025-07-29,1506.0,2320.9312182353424,2211.6602,-814.9312182353424,-705.66015625
2025-07-30,1538.0,2363.2809349321797,2086.901,-825.2809349321797,-548.90087890625
2025-07-31,1691.0,2474.266976948498,2445.92,-783.2669769484978,-754.919921875
2025-08-01,2049.0,2484.9137135066926,2432.0322,-435.9137135066926,-383.0322265625
2025-08-02,1486.5,1119.2199942151187,1259.008,367.28000578488127,227.491943359375
2025-08-04,2257.0,2171.508311735067,2185.6853,85.49168826493315,71.314697265625
2025-08-05,1306.5,1603.5127474830172,1802.175,-297.01274748301716,-495.675048828125
2025-08-08,1493.0,1492.3819036486843,1530.0277,0.6180963513156712,-37.0277099609375
2025-08-09,1817.5,1232.8709154509945,1231.0997,584.6290845490055,586.4002685546875
2025-08-11,1085.0,1666.3392778130753,1468.5162,-581.3392778130753,-383.5162353515625
2025-08-12,2946.75,1949.8109699957267,1993.0297,996.9390300042733,953.7203369140625
2025-08-13,1937.0,1813.9643444027083,1850.1543,123.03565559729168,86.845703125
2025-08-14,2498.0,1807.166979023477,1699.1438,690.8330209765229,798.856201171875
2025-08-15,2942.0,2028.1790545357246,2112.4724,913.8209454642754,829.527587890625
2025-08-16,846.5,1334.017650714507,1197.1118,-487.517650714507,-350.61181640625
2025-08-18,1619.5,2151.4800611458563,2046.1448,-531.9800611458563,-426.644775390625
